"No.","Time","Delta","Source","Source MAC","SRC Port","Destination","Dst MAC","DST Port","Protocol","Length","Info"
"490","2022-11-15 16:18:04.242628","0.052133","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57335","TCP","97","[TCP Retransmission] 443  >  57335 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"491","2022-11-15 16:18:04.246007","0.003379","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"492","2022-11-15 16:18:04.246007","0.000000","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57339","TCP","97","[TCP Retransmission] 443  >  57339 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"493","2022-11-15 16:18:04.293299","0.047292","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.154? Tell 12.227.228.129"
"494","2022-11-15 16:18:04.395314","0.102015","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.156? Tell 12.227.228.129"
"495","2022-11-15 16:18:04.395314","0.000000","ArubaaHe_2f:7e:4c","20:4c:03:2f:7e:4c","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 10.31.0.217? Tell 10.31.0.1"
"496","2022-11-15 16:18:04.420309","0.024995","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57337","TCP","97","[TCP Retransmission] 443  >  57337 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"497","2022-11-15 16:18:04.459917","0.039608","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57334","TCP","97","[TCP Retransmission] 443  >  57334 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"498","2022-11-15 16:18:04.498223","0.038306","10.31.0.81","7a:81:72:cf:a5:bf","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","254","Standard query response 0x0000 PTR, cache flush iPhone-105.local PTR, cache flush iPhone-105.local NSEC, cache flush 7.D.2.B.4.0.D.6.0.3.4.5.3.7.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 81.0.31.10.in-addr.arpa OPT"
"499","2022-11-15 16:18:04.498223","0.000000","fe80::73:5430:6d04:b2d7","7a:81:72:cf:a5:bf","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","274","Standard query response 0x0000 PTR, cache flush iPhone-105.local PTR, cache flush iPhone-105.local NSEC, cache flush 7.D.2.B.4.0.D.6.0.3.4.5.3.7.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 81.0.31.10.in-addr.arpa OPT"
"500","2022-11-15 16:18:04.600067","0.101844","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.211? Tell 12.227.228.129"
"501","2022-11-15 16:18:04.600067","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.148? Tell 12.227.228.129"
"502","2022-11-15 16:18:04.600067","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.198? Tell 12.227.228.129"
"503","2022-11-15 16:18:04.703111","0.103044","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.239? Tell 12.227.228.129"
"504","2022-11-15 16:18:04.703111","0.000000","10.31.1.8","3c:9c:0f:62:a0:e3","55961","239.255.255.250","01:00:5e:7f:ff:fa","1900","SSDP","217","M-SEARCH * HTTP/1.1 "
"505","2022-11-15 16:18:04.703111","0.000000","10.31.0.81","7a:81:72:cf:a5:bf","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","171","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"506","2022-11-15 16:18:04.703111","0.000000","fe80::73:5430:6d04:b2d7","7a:81:72:cf:a5:bf","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","191","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"507","2022-11-15 16:18:04.703111","0.000000","10.31.1.69","d4:57:63:ce:9d:c6","55894","239.255.255.250","01:00:5e:7f:ff:fa","1900","SSDP","211","M-SEARCH * HTTP/1.1 "
"508","2022-11-15 16:18:04.805489","0.102378","10.31.1.69","d4:57:63:ce:9d:c6","58517","239.255.255.250","01:00:5e:7f:ff:fa","1900","SSDP","218","M-SEARCH * HTTP/1.1 "
"509","2022-11-15 16:18:04.805489","0.000000","10.31.1.162","2a:1c:cc:84:83:52","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","270","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question ANY Kim's iPhone (2)._rdlink._tcp.local, ""QU"" question PTR John's MacBook Pro 16"" 2021._companion-link._tcp.local PTR MacBook Air._companion-link._tcp.local SRV 0 0 49152 Kims-iPhone-2.local OPT"
"510","2022-11-15 16:18:04.805489","0.000000","fe80::409:fe05:b900:c3c6","2a:1c:cc:84:83:52","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","290","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question ANY Kim's iPhone (2)._rdlink._tcp.local, ""QU"" question PTR John's MacBook Pro 16"" 2021._companion-link._tcp.local PTR MacBook Air._companion-link._tcp.local SRV 0 0 49152 Kims-iPhone-2.local OPT"
"511","2022-11-15 16:18:04.805489","0.000000","10.31.1.162","2a:1c:cc:84:83:52","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","192","Standard query response 0x0000 PTR _rdlink._tcp.local TXT OPT"
"512","2022-11-15 16:18:04.805489","0.000000","fe80::409:fe05:b900:c3c6","2a:1c:cc:84:83:52","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","212","Standard query response 0x0000 PTR _rdlink._tcp.local TXT OPT"
"513","2022-11-15 16:18:04.839408","0.033919","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"514","2022-11-15 16:18:04.917830","0.078422","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.208? Tell 12.227.228.129"
"515","2022-11-15 16:18:04.917830","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.228? Tell 12.227.228.129"
"516","2022-11-15 16:18:05.012892","0.095062","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.178? Tell 12.227.228.129"
"517","2022-11-15 16:18:05.012892","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.251? Tell 12.227.228.129"
"518","2022-11-15 16:18:05.012892","0.000000","10.31.0.81","7a:81:72:cf:a5:bf","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","201","Standard query 0x0000 ANY iPhone (105)._rdlink._tcp.local, ""QU"" question ANY iPhone-105.local, ""QU"" question SRV 0 0 49153 iPhone-105.local AAAA fe80::73:5430:6d04:b2d7 A 10.31.0.81 OPT"
"519","2022-11-15 16:18:05.012892","0.000000","fe80::73:5430:6d04:b2d7","7a:81:72:cf:a5:bf","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","221","Standard query 0x0000 ANY iPhone (105)._rdlink._tcp.local, ""QU"" question ANY iPhone-105.local, ""QU"" question SRV 0 0 49153 iPhone-105.local AAAA fe80::73:5430:6d04:b2d7 A 10.31.0.81 OPT"
"520","2022-11-15 16:18:05.012892","0.000000","ArubaaHe_f6:f0:9a","00:0b:86:f6:f0:9a","","Broadcast","ff:ff:ff:ff:ff:ff","","IAP","56","Aruba Instant AP"
"521","2022-11-15 16:18:05.012892","0.000000","5a:d7:4e:ed:1c:73","5a:d7:4e:ed:1c:73","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.1.44 (Request)"
"522","2022-11-15 16:18:05.012892","0.000000","5a:d7:4e:ed:1c:73","5a:d7:4e:ed:1c:73","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.1.44 (Request)"
"523","2022-11-15 16:18:05.012892","0.000000","5a:d7:4e:ed:1c:73","5a:d7:4e:ed:1c:73","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.1.44 (Request)"
"524","2022-11-15 16:18:05.012892","0.000000","10.31.1.162","2a:1c:cc:84:83:52","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","158","Standard query 0x0000 ANY Kim's iPhone (2)._rdlink._tcp.local, ""QM"" question SRV 0 0 49152 Kims-iPhone-2.local OPT"
"525","2022-11-15 16:18:05.012892","0.000000","fe80::409:fe05:b900:c3c6","2a:1c:cc:84:83:52","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","178","Standard query 0x0000 ANY Kim's iPhone (2)._rdlink._tcp.local, ""QM"" question SRV 0 0 49152 Kims-iPhone-2.local OPT"
"526","2022-11-15 16:18:05.112130","0.099238","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.180? Tell 12.227.228.129"
